merchant_id,date,is_open,scheduled_hours,actual_open_hours,business_hours_consistency,temporary_closure_flag,orders_created,accepted_orders,cancelled_orders,merchant_delay_orders,avg_prep_minutes
M00001,2026-02-01,1,8.7,7.28,0.8371,0,0,0,0,0,
M00001,2026-02-02,1,8.54,6.4,0.7497,0,0,0,0,0,
M00001,2026-02-03,1,8.54,8.03,0.9406,0,1,1,0,0,22.23
M00001,2026-02-04,0,9.91,0.0,0.0,0,0,0,0,0,
M00001,2026-02-05,1,10.73,10.73,1.0,0,0,0,0,0,
M00001,2026-02-06,1,10.07,7.72,0.7666,0,0,0,0,0,
M00001,2026-02-07,0,8.48,0.0,0.0,1,0,0,0,0,
M00001,2026-02-08,0,8.7,0.0,0.0,1,0,0,0,0,
M00001,2026-02-09,1,7.12,6.56,0.9222,0,1,1,0,0,9.09
M00001,2026-02-10,0,9.35,0.0,0.0,1,0,0,0,0,
M00001,2026-02-11,1,6.42,6.05,0.9416,0,0,0,0,0,
M00001,2026-02-12,1,10.06,10.06,1.0,0,0,0,0,0,
M00001,2026-02-13,1,8.02,6.83,0.8519,0,0,0,0,0,
M00001,2026-02-14,1,8.84,8.0,0.9048,0,0,0,0,0,
M00001,2026-02-15,1,9.4,8.05,0.8563,0,0,0,0,0,
M00001,2026-02-16,1,9.11,7.34,0.8058,0,0,0,0,0,
M00001,2026-02-17,1,8.92,7.48,0.8384,0,0,0,0,0,
M00001,2026-02-18,0,8.97,0.0,0.0,1,0,0,0,0,
M00001,2026-02-19,1,7.93,7.1,0.895,0,0,0,0,0,
M00001,2026-02-20,1,8.04,7.44,0.925,0,0,0,0,0,
M00001,2026-02-21,1,8.42,6.25,0.7427,0,1,1,0,1,17.39
M00001,2026-02-22,1,10.01,7.97,0.796,0,0,0,0,0,
M00001,2026-02-23,1,9.23,7.48,0.8108,0,0,0,0,0,
M00001,2026-02-24,1,8.82,8.82,1.0,0,1,1,0,0,18.62
M00001,2026-02-25,1,9.04,7.39,0.8179,0,1,1,0,0,19.24
M00001,2026-02-26,1,9.35,8.23,0.8803,0,0,0,0,0,
M00001,2026-02-27,1,8.24,7.24,0.8785,0,0,0,0,0,
M00001,2026-02-28,1,6.9,6.35,0.9204,0,1,1,0,0,26.02
M00001,2026-03-01,1,9.94,9.9,0.9958,0,1,1,0,0,23.64
M00001,2026-03-02,1,8.26,8.01,0.97,0,0,0,0,0,
M00001,2026-03-03,1,9.2,8.03,0.8733,0,0,0,0,0,
M00001,2026-03-04,1,8.01,6.45,0.8055,0,0,0,0,0,
M00001,2026-03-05,1,10.72,8.64,0.8059,0,0,0,0,0,
M00001,2026-03-06,1,7.66,6.69,0.874,0,0,0,0,0,
M00001,2026-03-07,1,10.5,9.31,0.8869,0,0,0,0,0,
M00001,2026-03-08,1,10.69,9.38,0.8773,0,0,0,0,0,
M00001,2026-03-09,1,6.37,6.37,1.0,0,0,0,0,0,
