merchant_id,merchant_name,city,cuisine_type,segment,join_date,menu_ready,competitor_presence,profile_avg_rating
M00001,Merchant 00001,Oakland,Mexican,SMB,2024-08-19,1,0,4.48
M00002,Merchant 00002,San Jose,American,SMB,2024-07-10,1,0,4.23
M00003,Merchant 00003,San Francisco,Italian,SMB,2023-12-26,1,1,4.44
M00004,Merchant 00004,Oakland,Japanese,Mid-Market,2021-03-05,1,1,4.19
M00005,Merchant 00005,San Francisco,Thai,SMB,2023-03-08,1,0,4.59
M00006,Merchant 00006,Fremont,American,SMB,2021-04-09,1,1,4.25
M00007,Merchant 00007,Oakland,Thai,Mid-Market,2020-03-19,1,0,4.21
M00008,Merchant 00008,Fremont,Mexican,SMB,2021-03-14,1,1,4.84
M00009,Merchant 00009,Oakland,American,SMB,2024-08-22,1,1,4.11
M00010,Merchant 00010,Palo Alto,Mediterranean,SMB,2020-12-28,1,1,4.83
M00011,Merchant 00011,San Francisco,Thai,Mid-Market,2021-11-02,1,0,4.41
M00012,Merchant 00012,Berkeley,American,SMB,2021-02-23,1,0,4.39
M00013,Merchant 00013,Oakland,Italian,SMB,2025-05-09,1,0,4.46
M00014,Merchant 00014,Berkeley,Mediterranean,SMB,2022-10-30,1,1,4.41
M00015,Merchant 00015,Palo Alto,Mexican,SMB,2023-02-02,0,0,4.19
M00016,Merchant 00016,San Jose,Thai,SMB,2024-07-19,1,0,3.93
M00017,Merchant 00017,Berkeley,American,SMB,2022-05-16,1,1,4.04
M00018,Merchant 00018,San Francisco,Thai,Mid-Market,2021-10-22,1,1,3.9
M00019,Merchant 00019,Oakland,American,SMB,2020-07-25,1,0,4.56
M00020,Merchant 00020,Fremont,Thai,SMB,2025-05-18,1,1,4.46
M00021,Merchant 00021,Berkeley,Italian,Mid-Market,2020-03-31,1,0,4.51
M00022,Merchant 00022,Palo Alto,Japanese,SMB,2020-03-20,1,0,3.91
M00023,Merchant 00023,San Francisco,American,SMB,2021-04-05,1,0,3.64
M00024,Merchant 00024,Berkeley,Thai,SMB,2024-07-24,1,0,4.22
M00025,Merchant 00025,San Jose,Mediterranean,SMB,2024-01-11,1,0,4.28
M00026,Merchant 00026,San Francisco,Indian,Enterprise,2023-05-13,1,0,4.09
M00027,Merchant 00027,San Jose,Italian,SMB,2021-11-26,0,0,4.85
M00028,Merchant 00028,San Francisco,American,SMB,2024-03-24,1,1,4.72
M00029,Merchant 00029,San Francisco,Chinese,Mid-Market,2022-01-27,1,0,3.96
M00030,Merchant 00030,Oakland,Thai,Mid-Market,2025-05-20,1,1,4.63
M00031,Merchant 00031,Fremont,Indian,Mid-Market,2020-11-10,1,1,4.5
M00032,Merchant 00032,San Francisco,American,Mid-Market,2023-09-04,1,0,4.08
M00033,Merchant 00033,Fremont,Indian,SMB,2025-05-16,1,1,4.43
M00034,Merchant 00034,Berkeley,Mediterranean,SMB,2021-11-17,1,0,4.87
M00035,Merchant 00035,Berkeley,Chinese,SMB,2024-11-22,0,0,4.08
M00036,Merchant 00036,Fremont,American,Mid-Market,2025-01-27,1,0,4.23
M00037,Merchant 00037,San Francisco,Thai,SMB,2024-12-04,1,1,4.22
M00038,Merchant 00038,San Francisco,American,SMB,2024-12-30,1,1,4.99
M00039,Merchant 00039,Oakland,Indian,Mid-Market,2025-03-16,1,0,4.53
M00040,Merchant 00040,San Francisco,American,SMB,2022-01-30,1,1,4.09
M00041,Merchant 00041,Berkeley,Thai,SMB,2025-07-04,1,1,4.31
M00042,Merchant 00042,Berkeley,American,SMB,2023-04-05,1,0,4.13
M00043,Merchant 00043,Berkeley,Thai,SMB,2021-05-22,1,1,3.48
M00044,Merchant 00044,San Francisco,Indian,SMB,2023-06-09,0,0,4.9
M00045,Merchant 00045,Oakland,Mexican,SMB,2024-01-20,1,1,4.0
M00046,Merchant 00046,Berkeley,Indian,SMB,2023-12-08,0,1,4.25
M00047,Merchant 00047,Fremont,American,SMB,2025-04-15,1,0,4.02
M00048,Merchant 00048,Palo Alto,Italian,SMB,2021-04-12,1,1,3.85
M00049,Merchant 00049,San Francisco,Indian,SMB,2024-01-16,1,0,5.0
M00050,Merchant 00050,Palo Alto,Indian,SMB,2022-08-02,1,0,4.51
M00051,Merchant 00051,Berkeley,American,Enterprise,2023-06-18,1,0,4.8
M00052,Merchant 00052,Palo Alto,Thai,SMB,2020-12-28,1,0,4.45
M00053,Merchant 00053,San Francisco,Chinese,Mid-Market,2022-04-16,1,0,4.44
M00054,Merchant 00054,San Jose,Italian,SMB,2025-07-23,1,0,4.09
M00055,Merchant 00055,Palo Alto,Japanese,SMB,2024-03-21,1,0,4.05
M00056,Merchant 00056,Oakland,Italian,SMB,2022-01-14,0,0,4.11
M00057,Merchant 00057,San Francisco,Italian,SMB,2021-12-11,1,1,3.89
M00058,Merchant 00058,Fremont,Mexican,SMB,2020-11-19,0,0,4.31
M00059,Merchant 00059,Fremont,American,SMB,2025-03-18,0,0,4.16
M00060,Merchant 00060,San Francisco,Mexican,SMB,2023-01-06,1,0,4.45
M00061,Merchant 00061,Oakland,Indian,SMB,2023-11-13,1,0,3.73
M00062,Merchant 00062,Palo Alto,Mediterranean,SMB,2023-07-29,1,0,3.81
M00063,Merchant 00063,San Francisco,American,SMB,2022-08-27,1,0,3.77
M00064,Merchant 00064,Oakland,Mediterranean,Mid-Market,2020-10-12,1,0,4.4
M00065,Merchant 00065,San Francisco,Mexican,Mid-Market,2024-04-14,1,0,4.41
M00066,Merchant 00066,Berkeley,Indian,SMB,2023-12-24,1,1,4.21
M00067,Merchant 00067,San Jose,Indian,SMB,2023-01-03,1,1,4.1
M00068,Merchant 00068,Berkeley,Mexican,SMB,2024-06-10,1,1,4.57
M00069,Merchant 00069,Fremont,Chinese,SMB,2024-09-19,1,0,3.86
M00070,Merchant 00070,Berkeley,Chinese,SMB,2023-09-06,1,0,4.95
M00071,Merchant 00071,Palo Alto,Japanese,Mid-Market,2025-04-30,1,0,4.35
M00072,Merchant 00072,Berkeley,Japanese,Mid-Market,2024-11-02,1,0,4.56
M00073,Merchant 00073,Oakland,American,SMB,2022-12-19,0,1,3.84
M00074,Merchant 00074,Palo Alto,American,SMB,2024-06-14,1,0,4.57
M00075,Merchant 00075,Palo Alto,Chinese,SMB,2020-05-13,0,1,4.31
M00076,Merchant 00076,Berkeley,Indian,Enterprise,2021-01-12,1,0,4.75
M00077,Merchant 00077,Palo Alto,Mediterranean,SMB,2025-07-06,1,1,3.82
M00078,Merchant 00078,San Jose,Japanese,SMB,2025-03-12,1,0,3.92
M00079,Merchant 00079,San Jose,Indian,Mid-Market,2023-07-23,1,0,3.74
M00080,Merchant 00080,Fremont,Japanese,SMB,2021-11-02,1,1,3.08
M00081,Merchant 00081,Berkeley,American,SMB,2020-09-25,1,1,3.62
M00082,Merchant 00082,San Francisco,American,SMB,2020-07-13,1,1,4.58
M00083,Merchant 00083,Berkeley,Chinese,Mid-Market,2025-08-15,1,0,4.43
M00084,Merchant 00084,Oakland,Italian,SMB,2025-02-20,1,0,4.37
M00085,Merchant 00085,Berkeley,American,SMB,2022-07-06,1,0,4.25
M00086,Merchant 00086,Fremont,Italian,SMB,2020-04-02,1,0,4.09
M00087,Merchant 00087,Oakland,Indian,SMB,2020-10-29,1,1,3.71
M00088,Merchant 00088,Berkeley,Indian,SMB,2022-05-31,0,0,5.0
M00089,Merchant 00089,Berkeley,Mexican,SMB,2024-07-05,1,0,4.24
M00090,Merchant 00090,Oakland,Japanese,SMB,2021-05-20,1,0,4.94
M00091,Merchant 00091,Fremont,Thai,Mid-Market,2023-10-30,1,0,4.64
M00092,Merchant 00092,San Jose,Italian,SMB,2022-10-27,0,0,4.39
M00093,Merchant 00093,Palo Alto,Mediterranean,SMB,2020-03-28,1,0,4.52
M00094,Merchant 00094,San Jose,Indian,Mid-Market,2020-07-20,1,1,4.03
M00095,Merchant 00095,Berkeley,Mediterranean,SMB,2023-06-18,1,0,4.88
M00096,Merchant 00096,Oakland,Thai,SMB,2024-11-21,1,1,4.65
M00097,Merchant 00097,Fremont,Thai,SMB,2021-04-20,1,0,4.48
M00098,Merchant 00098,Oakland,Chinese,SMB,2022-11-29,1,0,4.04
M00099,Merchant 00099,Palo Alto,Japanese,SMB,2023-10-15,0,0,3.82
M00100,Merchant 00100,Palo Alto,Chinese,SMB,2025-04-05,1,0,4.52
M00101,Merchant 00101,Palo Alto,Indian,Enterprise,2021-01-10,1,1,4.01
M00102,Merchant 00102,San Francisco,Mediterranean,Mid-Market,2025-04-28,1,1,3.5
