order_id,merchant_id,customer_id,order_date,accepted_flag,cancelled_flag,completed_flag,merchant_delay_flag,late_delivery_flag,defect_flag,complaint_flag,prep_time_minutes,customer_rating,refund_requested_flag,refund_amount,merchant_dispute_flag,gross_sales,promo_discount,commission_rate,commission_amount,merchant_cost,merchant_profit,new_customer_flag,repeat_customer_flag,payment_failed_flag
O00000001,M00001,C0166924,2026-02-03,1,0,1,0,0,0,0,22.23,5.0,0,0.0,0,25.21,0.0,0.3252,8.2,11.83,5.18,0,1,0
O00000002,M00001,C0165006,2026-02-09,1,0,1,0,0,0,0,9.09,4.0,0,0.0,0,21.64,0.0,0.2165,4.69,10.33,6.63,0,1,0
O00000003,M00001,C0034982,2026-02-21,1,0,1,1,0,0,0,17.39,4.0,0,0.0,0,21.2,5.16,0.2057,4.36,10.83,0.85,0,1,0
O00000004,M00001,C0039066,2026-02-24,1,0,1,0,0,0,0,18.62,5.0,0,0.0,0,19.86,0.0,0.2847,5.65,13.14,1.07,0,1,0
O00000005,M00001,C0030415,2026-02-25,1,0,1,0,0,0,0,19.24,5.0,0,0.0,0,24.84,0.0,0.2235,5.55,10.61,8.68,1,0,0
O00000006,M00001,C0169626,2026-02-28,1,0,1,0,0,0,0,26.02,5.0,0,0.0,0,18.19,0.0,0.265,4.82,11.82,1.54,0,1,0
O00000007,M00001,C0015399,2026-03-01,1,0,1,0,0,0,0,23.64,5.0,0,0.0,0,32.99,4.01,0.1656,5.46,17.59,5.93,1,0,0
O00000008,M00001,C0042085,2026-03-20,1,0,1,0,0,0,0,17.55,5.0,0,0.0,0,40.2,0.0,0.2296,9.23,26.4,4.57,0,1,0
O00000009,M00001,C0095374,2026-03-22,0,1,0,0,0,0,0,,,0,0.0,0,17.28,0.0,0.2235,3.86,10.8,2.61,0,0,0
O00000010,M00001,C0084257,2026-03-27,1,0,1,0,0,0,0,26.93,5.0,0,0.0,0,34.44,0.0,0.1722,5.93,18.21,10.3,0,1,0
O00000011,M00001,C0194355,2026-03-31,1,0,1,0,0,0,0,19.43,5.0,0,0.0,0,19.22,0.0,0.3022,5.81,10.59,2.82,1,0,0
O00000012,M00001,C0145585,2026-04-02,1,0,1,1,0,1,0,17.09,4.0,0,0.0,0,26.82,0.0,0.2787,7.47,14.55,4.8,1,0,0
O00000013,M00001,C0137702,2026-04-03,1,0,1,0,0,0,0,15.65,5.0,0,0.0,0,39.3,0.0,0.2158,8.48,21.51,9.31,1,0,0
O00000014,M00001,C0122581,2026-04-03,1,0,1,0,0,0,0,13.47,5.0,0,0.0,0,14.65,0.0,0.2671,3.91,7.3,3.44,0,1,0
O00000015,M00001,C0007315,2026-04-03,1,0,1,0,0,0,0,22.61,5.0,0,0.0,0,27.5,0.0,0.2924,8.04,12.37,7.09,1,0,0
O00000016,M00001,C0197879,2026-04-06,1,0,1,0,0,0,0,20.91,5.0,0,0.0,0,46.94,7.45,0.2282,10.71,29.88,-1.1,0,1,0
O00000017,M00001,C0136421,2026-04-15,1,0,1,0,0,0,0,20.57,5.0,0,0.0,0,18.29,0.0,0.2314,4.23,10.97,3.09,0,1,0
O00000018,M00001,C0080203,2026-04-17,1,0,1,0,0,0,0,20.03,4.0,0,0.0,0,23.16,5.21,0.3,6.95,12.65,-1.65,0,1,0
O00000019,M00001,C0122857,2026-04-20,1,0,1,0,0,0,0,16.51,4.0,0,0.0,1,23.98,0.0,0.2725,6.53,14.33,3.11,0,1,0
O00000020,M00001,C0196348,2026-04-22,1,0,1,0,0,0,0,22.02,5.0,0,0.0,0,23.5,0.0,0.2919,6.86,12.5,4.14,0,1,0
O00000021,M00001,C0185684,2026-04-24,1,0,1,0,0,0,0,26.59,5.0,0,0.0,0,16.72,0.0,0.2591,4.33,9.36,3.03,0,1,0
O00000022,M00001,C0084301,2026-04-26,1,0,1,0,1,0,0,24.16,4.0,0,0.0,0,37.7,5.03,0.2061,7.77,19.87,5.03,0,1,0
O00000023,M00001,C0065450,2026-04-30,1,0,1,0,0,0,0,22.67,4.0,0,0.0,0,23.5,0.0,0.2397,5.63,9.61,8.26,0,1,0
