promotion_id,merchant_id,promotion_type,start_date,end_date,promo_spend,promotion_return,promotion_roi
P0000001,M00001,Free Delivery,2026-04-09,2026-04-20,131.36,311.23,1.3692
P0000002,M00001,Free Delivery,2026-04-27,2026-05-01,117.43,238.95,1.0348
P0000003,M00002,Sponsored Listing,2026-04-11,2026-04-20,31.55,95.58,2.0291
P0000005,M00004,Sponsored Listing,2026-03-08,2026-03-14,69.09,244.41,2.5378
P0000006,M00004,BOGO,2026-03-22,2026-03-26,31.61,64.63,1.0445
P0000004,M00004,Percentage Off,2026-03-25,2026-03-29,63.58,230.78,2.6301
P0000007,M00005,Sponsored Listing,2026-05-17,2026-05-29,134.23,358.05,1.6675
P0000008,M00006,Free Delivery,2026-02-09,2026-02-19,75.97,131.03,0.7248
P0000009,M00006,Free Delivery,2026-04-19,2026-04-26,126.8,320.02,1.5238
P0000010,M00007,BOGO,2026-02-23,2026-03-04,151.3,263.67,0.7427
P0000011,M00008,BOGO,2026-03-28,2026-04-03,174.25,474.63,1.7238
P0000013,M00008,Percentage Off,2026-04-05,2026-04-13,126.15,214.93,0.7038
P0000014,M00008,Sponsored Listing,2026-04-14,2026-04-21,61.7,177.33,1.8739
P0000012,M00008,Sponsored Listing,2026-05-15,2026-05-26,23.59,54.37,1.3049
P0000015,M00009,Sponsored Listing,2026-05-16,2026-05-28,52.3,160.3,2.0651
P0000016,M00010,Free Delivery,2026-04-26,2026-05-01,45.68,88.66,0.9407
P0000017,M00011,Free Delivery,2026-04-14,2026-04-28,26.64,28.26,0.0609
P0000019,M00013,Sponsored Listing,2026-04-03,2026-04-07,121.58,178.3,0.4665
P0000020,M00013,Percentage Off,2026-04-16,2026-04-24,29.4,74.15,1.5223
P0000018,M00013,Sponsored Listing,2026-05-04,2026-05-12,92.73,242.71,1.6173
P0000021,M00014,Percentage Off,2026-02-14,2026-02-22,172.99,346.07,1.0005
P0000024,M00016,Percentage Off,2026-03-12,2026-03-24,62.84,103.56,0.6481
P0000022,M00016,Free Delivery,2026-04-29,2026-05-09,61.28,176.89,1.8864
P0000023,M00016,BOGO,2026-05-19,2026-05-23,88.89,213.79,1.405
P0000025,M00017,BOGO,2026-03-14,2026-03-21,59.67,71.59,0.1998
P0000026,M00017,BOGO,2026-05-06,2026-05-11,35.63,73.9,1.0738
P0000028,M00018,Percentage Off,2026-03-01,2026-03-08,64.61,169.52,1.6236
P0000027,M00018,Free Delivery,2026-03-04,2026-03-11,182.59,323.65,0.7725
P0000029,M00019,Percentage Off,2026-02-07,2026-02-12,64.43,133.82,1.077
P0000030,M00020,BOGO,2026-02-23,2026-03-07,61.73,177.1,1.869
P0000031,M00020,Percentage Off,2026-04-22,2026-04-29,151.47,391.54,1.5849
P0000033,M00021,BOGO,2026-02-26,2026-03-05,25.62,58.66,1.2894
P0000032,M00021,Sponsored Listing,2026-03-26,2026-04-01,200.8,637.53,2.1749
P0000035,M00022,Percentage Off,2026-02-28,2026-03-13,27.25,63.44,1.3283
P0000034,M00022,Free Delivery,2026-05-16,2026-05-30,121.96,175.39,0.4381
P0000036,M00023,Sponsored Listing,2026-02-03,2026-02-14,55.19,153.04,1.7728
P0000039,M00023,Sponsored Listing,2026-02-06,2026-02-13,133.1,116.53,-0.1245
P0000038,M00023,Free Delivery,2026-03-11,2026-03-16,128.18,293.43,1.2891
P0000037,M00023,BOGO,2026-04-13,2026-04-23,61.9,179.57,1.901
P0000041,M00025,Sponsored Listing,2026-03-03,2026-03-09,190.01,347.91,0.831
P0000040,M00025,BOGO,2026-05-13,2026-05-21,89.56,228.67,1.5532
P0000044,M00026,Percentage Off,2026-03-03,2026-03-11,41.86,85.73,1.0481
P0000043,M00026,Sponsored Listing,2026-04-23,2026-04-27,58.9,122.11,1.0732
P0000042,M00026,Percentage Off,2026-04-24,2026-04-29,95.57,313.33,2.2785
P0000046,M00027,Sponsored Listing,2026-02-28,2026-03-10,131.09,185.37,0.4141
P0000045,M00027,Sponsored Listing,2026-05-09,2026-05-18,100.09,126.96,0.2684
P0000047,M00029,Free Delivery,2026-02-17,2026-03-02,35.71,61.78,0.73
P0000048,M00029,Free Delivery,2026-02-27,2026-03-12,101.49,133.37,0.3141
P0000049,M00029,Percentage Off,2026-05-20,2026-05-29,48.39,106.24,1.1954
P0000050,M00030,Free Delivery,2026-03-12,2026-03-26,66.55,157.83,1.3717
P0000052,M00030,Sponsored Listing,2026-03-23,2026-04-03,235.84,273.73,0.1607
P0000051,M00030,Percentage Off,2026-05-16,2026-05-28,15.06,41.99,1.789
P0000053,M00033,Free Delivery,2026-05-12,2026-05-16,130.55,247.4,0.8951
P0000055,M00035,Free Delivery,2026-02-15,2026-02-25,164.95,462.77,1.8055
P0000054,M00035,Sponsored Listing,2026-04-01,2026-04-05,41.09,38.58,-0.061
P0000056,M00036,Sponsored Listing,2026-05-02,2026-05-12,206.83,400.58,0.9368
P0000057,M00038,Percentage Off,2026-03-17,2026-03-23,105.92,269.76,1.5469
P0000058,M00038,Percentage Off,2026-04-14,2026-04-18,236.93,566.2,1.3897
P0000059,M00039,Percentage Off,2026-04-01,2026-04-08,32.98,60.82,0.8444
P0000060,M00039,Sponsored Listing,2026-05-07,2026-05-21,136.66,238.08,0.7421
P0000061,M00040,Sponsored Listing,2026-05-15,2026-05-29,102.0,206.78,1.0271
P0000062,M00041,Sponsored Listing,2026-02-05,2026-02-12,73.93,164.89,1.2304
P0000063,M00041,Sponsored Listing,2026-04-23,2026-05-04,195.94,334.56,0.7074
P0000064,M00042,Sponsored Listing,2026-02-28,2026-03-12,30.97,72.31,1.3346
P0000065,M00044,Sponsored Listing,2026-05-17,2026-05-28,105.04,257.55,1.4521
P0000066,M00046,Sponsored Listing,2026-02-14,2026-02-28,258.82,396.01,0.53
P0000067,M00046,BOGO,2026-04-01,2026-04-08,72.84,161.75,1.2208
P0000068,M00046,Percentage Off,2026-04-05,2026-04-10,165.44,361.05,1.1824
P0000069,M00047,BOGO,2026-03-08,2026-03-21,129.0,129.67,0.0052
P0000070,M00048,BOGO,2026-05-19,2026-06-01,44.47,111.68,1.5114
P0000072,M00049,Free Delivery,2026-04-03,2026-04-14,83.56,157.93,0.8899
P0000073,M00049,BOGO,2026-05-10,2026-05-20,205.87,395.77,0.9224
P0000071,M00049,Sponsored Listing,2026-05-13,2026-05-26,209.35,465.55,1.2238
P0000074,M00050,BOGO,2026-03-27,2026-04-04,117.94,173.69,0.4727
P0000075,M00050,Sponsored Listing,2026-05-14,2026-05-18,133.96,216.64,0.6173
